variable,scenario,period,stat,granularity,n_districts,country_value_raw,country_value_conv,description
tas,historical,1995-2014,mean,district,22,11.45,11.45,
tas,historical,1995-2014,p10,district,22,11.2,11.2,
tas,historical,1995-2014,p90,district,22,11.85,11.85,
tas,ssp245,2040-2059,mean,district,22,13.09,13.09,
tas,ssp245,2040-2059,p10,district,22,12.07,12.07,
tas,ssp245,2040-2059,p90,district,22,14.47,14.47,
tas,ssp585,2040-2059,mean,district,22,13.73,13.73,
tas,ssp585,2040-2059,p10,district,22,12.79,12.79,
tas,ssp585,2040-2059,p90,district,22,14.88,14.88,
tas,ssp245,2080-2099,mean,district,22,14.08,14.08,
tas,ssp245,2080-2099,p10,district,22,12.82,12.82,
tas,ssp245,2080-2099,p90,district,22,15.66,15.66,
tas,ssp585,2080-2099,mean,district,22,16.68,16.68,
tas,ssp585,2080-2099,p10,district,22,15.12,15.12,
tas,ssp585,2080-2099,p90,district,22,18.7,18.7,
tasmax,historical,1995-2014,mean,district,22,15.88,15.88,
tasmax,historical,1995-2014,p10,district,22,15.27,15.27,
tasmax,historical,1995-2014,p90,district,22,16.45,16.45,
tasmax,ssp245,2040-2059,mean,district,22,17.63,17.63,
tasmax,ssp245,2040-2059,p10,district,22,16.44,16.44,
tasmax,ssp245,2040-2059,p90,district,22,19.11,19.11,
tasmax,ssp585,2040-2059,mean,district,22,18.37,18.37,
tasmax,ssp585,2040-2059,p10,district,22,16.95,16.95,
tasmax,ssp585,2040-2059,p90,district,22,19.76,19.76,
tasmax,ssp245,2080-2099,mean,district,22,18.67,18.67,
tasmax,ssp245,2080-2099,p10,district,22,17.32,17.32,
tasmax,ssp245,2080-2099,p90,district,22,20.38,20.38,
tasmax,ssp585,2080-2099,mean,district,22,21.35,21.35,
tasmax,ssp585,2080-2099,p10,district,22,19.25,19.25,
tasmax,ssp585,2080-2099,p90,district,22,23.9,23.9,
tasmin,historical,1995-2014,mean,district,22,7.1,7.1,
tasmin,historical,1995-2014,p10,district,22,6.55,6.55,
tasmin,historical,1995-2014,p90,district,22,7.61,7.61,
tasmin,ssp245,2040-2059,mean,district,22,8.56,8.56,
tasmin,ssp245,2040-2059,p10,district,22,7.62,7.62,
tasmin,ssp245,2040-2059,p90,district,22,9.9,9.9,
tasmin,ssp585,2040-2059,mean,district,22,9.23,9.23,
tasmin,ssp585,2040-2059,p10,district,22,8.03,8.03,
tasmin,ssp585,2040-2059,p90,district,22,10.59,10.59,
tasmin,ssp245,2080-2099,mean,district,22,9.55,9.55,
tasmin,ssp245,2080-2099,p10,district,22,8.27,8.27,
tasmin,ssp245,2080-2099,p90,district,22,11.14,11.14,
tasmin,ssp585,2080-2099,mean,district,22,12.05,12.05,
tasmin,ssp585,2080-2099,p10,district,22,9.89,9.89,
tasmin,ssp585,2080-2099,p90,district,22,14.29,14.29,
pr,historical,1995-2014,mean,district,22,694.1,694.1,
pr,historical,1995-2014,p10,district,22,615.01,615.01,
pr,historical,1995-2014,p90,district,22,769.45,769.45,
pr,ssp245,2040-2059,mean,district,22,688.08,688.08,
pr,ssp245,2040-2059,p10,district,22,581.98,581.98,
pr,ssp245,2040-2059,p90,district,22,796.9,796.9,
