borvidek,borregio,lat,lon
Badacsonyi,Balaton,46.839286,17.482507
Balatonboglári,Balaton,46.637346,17.653904
Balatonfelvidéki,Balaton,46.891277,17.377
Balatonfüred-Csopaki,Balaton,46.957191,17.896514
Bükki,Felső-Magyarországi,48.020654,20.706097
Csongrádi,Duna,46.379734,20.067733
Egri,Felső-Magyarországi,47.882201,20.351297
Etyek-Budai,Felső-Pannon,47.332355,18.677858
Hajós-Bajai,Duna,46.233589,19.035669
Kunsági,Duna,46.819796,19.578448
Mátrai,Felső-Magyarországi,47.757791,19.789101
Móri,Felső-Pannon,47.370888,18.26358
Nagy-Somlói,Balaton,47.183226,17.258078
Neszmélyi,Felső-Pannon,47.638843,18.319757
Pannonhalmi,Felső-Pannon,47.586391,17.682291
Pécsi,Pannon,46.063817,18.382478
Soproni,Felső-Pannon,47.561022,16.645986
Szekszárdi,Pannon,46.297202,18.711681
Tokaji,Tokaj,48.243461,21.385374
Tolnai,Pannon,46.603887,18.548423
Villányi,Pannon,45.87552,18.293433
Zalai,Balaton,46.621404,16.928487
