borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,10.385542,10.385541915893555,10.385541915893555,10.385541915893555,0.0
Badacsonyi,extreme_heat_days_t38,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,growing_season_precip,14,451.29282,451.2928466796875,451.2928466796875,451.2928466796875,0.0
Badacsonyi,hargreaves_pet,14,725.7246,725.724609375,725.724609375,725.724609375,0.0
Badacsonyi,heat_days_t35,14,0.06666667,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.0
Badacsonyi,huglin_index,14,1707.1594,1707.159423828125,1707.159423828125,1707.159423828125,0.0
Badacsonyi,last_spring_frost_doy,14,104.23333,104.23332977294922,104.23332977294922,104.23332977294922,0.0
Badacsonyi,p_minus_pet,14,-274.43176,-274.4317626953125,-274.4317626953125,-274.4317626953125,0.0
Badacsonyi,spring_frost_days,14,14.566667,14.566666603088379,14.566666603088379,14.566666603088379,0.0
Badacsonyi,winkler_gdd,14,1239.0957,1239.095703125,1239.095703125,1239.095703125,0.0
Balatonboglári,cool_night_index,14,10.66994,10.669939994812012,10.669939994812012,10.669939994812012,0.0
Balatonboglári,extreme_heat_days_t38,14,0.0,0.0,0.0,0.0,0.0
Balatonboglári,growing_season_precip,14,438.2822,438.2821960449219,438.2821960449219,438.2821960449219,0.0
Balatonboglári,hargreaves_pet,14,777.0985,777.0985107421875,777.0985107421875,777.0985107421875,0.0
Balatonboglári,heat_days_t35,14,0.4,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.0
Balatonboglári,huglin_index,14,1909.8646,1909.86474609375,1909.86474609375,1909.86474609375,0.0
Balatonboglári,last_spring_frost_doy,14,98.23333,98.23332977294922,98.23332977294922,98.23332977294922,0.0
Balatonboglári,p_minus_pet,14,-338.81625,-338.8162841796875,-338.8162841796875,-338.8162841796875,0.0
Balatonboglári,spring_frost_days,14,11.666667,11.666666984558105,11.666666984558105,11.666666984558105,0.0
Balatonboglári,winkler_gdd,14,1401.1063,1401.1063232421875,1401.1063232421875,1401.1063232421875,0.0
Balatonfelvidéki,cool_night_index,14,10.743796,10.743796348571777,10.743796348571777,10.743796348571777,0.0
Balatonfelvidéki,extreme_heat_days_t38,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,growing_season_precip,14,456.48666,456.4866638183594,456.4866638183594,456.4866638183594,0.0
Balatonfelvidéki,hargreaves_pet,14,732.21545,732.2154541015625,732.2154541015625,732.2154541015625,0.0
Balatonfelvidéki,heat_days_t35,14,0.16666667,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0
