borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,11.568655,11.388225078582764,11.562581062316895,11.776643180847168,0.2015018
Badacsonyi,extreme_heat_days_t38,14,0.2107143,0.0,0.17500000447034836,0.5599999815225605,0.22717205
Badacsonyi,growing_season_precip,14,452.66302,404.51329040527344,451.23081970214844,494.406396484375,33.35214
Badacsonyi,hargreaves_pet,14,782.0758,774.7081848144531,780.7469787597656,793.1695068359375,7.4838996
Badacsonyi,heat_days_t35,14,2.5357144,1.5600000143051147,2.25,3.8149999618530286,1.0088891
Badacsonyi,huglin_index,14,2027.0917,1989.374072265625,2021.1765747070312,2071.5580322265623,37.092262
Badacsonyi,last_spring_frost_doy,14,88.700005,83.87500305175782,88.5,93.5599983215332,4.26001
Badacsonyi,p_minus_pet,14,-329.41284,-378.8924621582031,-329.4425811767578,-286.6787658691406,35.945972
Badacsonyi,spring_frost_days,14,11.332143,10.19499979019165,11.474999904632568,12.455000114440917,1.2008982
Badacsonyi,winkler_gdd,14,1529.008,1501.898828125,1526.5916748046875,1557.8543579101563,30.765535
Balatonboglári,cool_night_index,14,11.841512,11.668571281433106,11.822733879089355,12.042921161651611,0.21497944
Balatonboglári,extreme_heat_days_t38,14,0.7714286,0.21500000208616257,0.7749999761581421,1.1349999904632568,0.5250327
Balatonboglári,growing_season_precip,14,435.72116,391.259814453125,434.73004150390625,475.9974700927734,33.452744
Balatonboglári,hargreaves_pet,14,836.4618,829.6384582519531,835.3320617675781,845.3745239257812,7.2691693
Balatonboglári,heat_days_t35,14,5.267857,3.840000057220459,5.0,6.810000038146973,1.5123347
Balatonboglári,huglin_index,14,2235.6653,2197.20556640625,2228.5777587890625,2280.116943359375,38.271767
Balatonboglári,last_spring_frost_doy,14,84.325005,80.8900016784668,84.10000228881836,88.2249984741211,3.0850604
Balatonboglári,p_minus_pet,14,-400.74057,-445.6376556396484,-397.8336181640625,-356.8900115966797,35.748257
Balatonboglári,spring_frost_days,14,9.385714,8.224999618530273,9.449999809265137,10.425,1.0986757
Balatonboglári,winkler_gdd,14,1700.8424,1670.4178833007813,1694.8780517578125,1730.2403564453125,31.922668
Balatonfelvidéki,cool_night_index,14,11.902354,11.717074108123779,11.908586502075195,12.109887409210206,0.20627098
Balatonfelvidéki,extreme_heat_days_t38,14,0.37142858,0.08000000230967999,0.32500000298023224,0.6900000035762789,0.29529274
Balatonfelvidéki,growing_season_precip,14,454.25073,407.3111572265625,451.51161193847656,496.8499053955078,33.845165
Balatonfelvidéki,hargreaves_pet,14,788.82684,782.2787353515625,787.9744873046875,797.4962951660157,6.957521
Balatonfelvidéki,heat_days_t35,14,3.267857,2.1200000286102294,3.100000023841858,4.630000066757203,1.1422998
Balatonfelvidéki,huglin_index,14,2094.7512,2055.9008544921876,2089.189208984375,2140.214892578125,36.910946
Balatonfelvidéki,last_spring_frost_doy,14,85.58571,81.37999801635742,85.64999771118164,89.29500198364258,4.0751333
Balatonfelvidéki,p_minus_pet,14,-334.57614,-378.3504638671875,-333.3832244873047,-291.7323303222656,36.246178
Balatonfelvidéki,spring_frost_days,14,9.457143,8.560000324249268,9.349999904632568,10.540000152587892,1.0173224
Balatonfelvidéki,winkler_gdd,14,1597.9467,1568.6106079101562,1596.203369140625,1627.6292846679687,30.3334
Balatonfüred-Csopaki,cool_night_index,14,12.289284,12.132445526123046,12.291678428649902,12.436307430267334,0.18079004
