borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Assyrtiko,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Bianca,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Bronner,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet sauvignon,14,0.33166513,0.33166512846946716,0.33166512846946716,0.33166512846946716,0.0
Badacsonyi,Carignan,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cirfandli,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Ezerjó,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Fiano,14,0.031875458,0.03187545761466026,0.03187545761466026,0.03187545761466026,0.0
Badacsonyi,Furmint,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Garnacha,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Generosa,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Hárslevelű,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Irsai Olivér,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Johanniter,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Juhfark,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Kabar,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Kadarka,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Kövérszőlő,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Leányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Merlot,14,0.8151515,0.8151514530181885,0.8151514530181885,0.8151514530181885,0.0
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Muscat ottonel,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Müller-Thurgau,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
