borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Albariño,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Arany sárfehér,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Assyrtiko,14,0.13277441,0.04211293086409569,0.09955261275172234,0.28346236348152165,0.09819399
Badacsonyi,Bianca,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Bronner,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Budai zöld,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Cabernet Cortis,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Cabernet franc,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Cabernet sauvignon,14,0.70852244,0.6528409004211426,0.75,0.75,0.07049725
Badacsonyi,Carignan,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Chardonnay,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Cirfandli,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Cserszegi fűszeres,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Ezerjó,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Fiano,14,0.51018196,0.4171129375696182,0.47524338960647583,0.6584623634815217,0.10399861
Badacsonyi,Furmint,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Garnacha,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Generosa,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Hárslevelű,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Irsai Olivér,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Johanniter,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Juhfark,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Kabar,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Kadarka,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
Badacsonyi,Királyleányka,14,0.9971939,1.0,1.0,1.0,0.01049955
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,0.94577926,0.8704545497894287,1.0,1.0,0.09051425
