variety,mean,p10,p50,p90,std
Kékfrankos,0.9587345,0.892189621925354,0.9690572321414948,0.9973452091217041,0.037002526
Zweigelt,0.9587345,0.892189621925354,0.9690572321414948,0.9973452091217041,0.037002526
Zöld veltelíni,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Rajnai rizling,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Tramini,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Muscat ottonel,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Müller-Thurgau,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Pinot noir,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Pinot blanc,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Rizlingszilváni,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Irsai Olivér,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
Muscaris,0.93469197,0.8627450466156006,0.9627614617347717,0.9948564767837524,0.07902129
Johanniter,0.93469197,0.8627450466156006,0.9627614617347717,0.9948564767837524,0.07902129
Bianca,0.92977667,0.8342617750167847,0.9682546555995941,0.9995221495628357,0.088484176
Chardonnay,0.92977667,0.8342617750167847,0.9682546555995941,0.9995221495628357,0.088484176
Generosa,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
Sauvignon blanc,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
Souvignier Gris,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
Szürkebarát,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
Cserszegi fűszeres,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
Leányka,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
Királyleányka,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
Budai zöld,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
Cabernet Cortis,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
Portugieser,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
Olaszrizling,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
Solaris,0.8843586,0.8017001748085022,0.9087872207164764,0.983823299407959,0.09302358
Bronner,0.8843586,0.8017001748085022,0.9087872207164764,0.983823299407959,0.09302358
Cabernet franc,0.8817508,0.7562807202339172,0.9050317704677582,0.9805428385734558,0.10390465
Zalagyöngye,0.87971187,0.7492127418518066,0.9197232723236084,0.9929330945014954,0.11906884
Albariño,0.87256217,0.747818112373352,0.8935894966125488,0.9631302952766418,0.1008515
Aletta,0.8248163,0.6633850336074829,0.8657763004302979,0.9225234389305115,0.11829291
Rózsakő,0.8083853,0.6384278535842896,0.8194342851638794,0.9803645610809326,0.15093398
Chasselas,0.7997914,0.6471477746963501,0.8166753351688385,0.9964980483055115,0.14429092
Nektár,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
Zefír,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
Vulcanus,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
Zeus,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
Auxerrois,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
Zengő,0.7693585,0.5767071843147278,0.8137067258358002,0.9075238108634949,0.14232554
Blauburger,0.73330265,0.4788123667240143,0.7896444797515869,0.8739128708839417,0.1513306
Ezerjó,0.72134185,0.5178855061531067,0.722993940114975,0.9448949694633484,0.17960113
Arany sárfehér,0.7209372,0.5073440074920654,0.7306696474552155,0.9254294633865356,0.17767209
Cirfandli,0.7209372,0.5073440074920654,0.7306696474552155,0.9254294633865356,0.17767209
Kéknyelű,0.7118466,0.4954474866390228,0.7356186211109161,0.8988375663757324,0.17641425
Hárslevelű,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Juhfark,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Kabar,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Kövérszőlő,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Zéta,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Zenit,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Kadarka,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Merlot,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
Turán,0.69101727,0.3827034533023834,0.7575567066669464,0.8515632152557373,0.17718309
Furmint,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
Gamay,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
Kövidinka,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
Sémillon,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
Sárgamuskotály,0.66714734,0.40180060267448425,0.7124975025653839,0.8522914052009583,0.17760015
Kunleány,0.6544354,0.40180060267448425,0.6954612731933594,0.8513427972793579,0.1710825
Verdejo,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
Vermentino,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
Sangiovese,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
Cabernet sauvignon,0.47798157,0.20475953817367554,0.5176942646503448,0.6575353741645813,0.15540907
Syrah,0.47798157,0.20475953817367554,0.5176942646503448,0.6575353741645813,0.15540907
Menoire,0.47430718,0.20475953817367554,0.5123696029186249,0.6518808603286743,0.15306096
Mészikadar,0.47430718,0.20475953817367554,0.5123696029186249,0.6518808603286743,0.15306096
Fiano,0.45689797,0.06354937702417374,0.4695132225751877,0.6453120708465576,0.23414133
Bíborkadarka,0.36423367,0.03818722814321518,0.38205285370349884,0.6319478750228882,0.20134336
Alibernet,0.36318094,0.03818722814321518,0.38205285370349884,0.6318967938423157,0.20027547
Malbec,0.30937812,0.026351559907197952,0.3272624760866165,0.567593514919281,0.18408331
Tannat,0.3085074,0.026351559907197952,0.32587411999702454,0.5675476789474487,0.18329829
Assyrtiko,0.21204399,0.0,0.11700192466378212,0.43078699707984924,0.20074037
Sagrantino,0.18023206,0.0,0.09728703275322914,0.3829071819782257,0.17121907
Tempranillo,0.15613145,0.0,0.07800128310918808,0.34351199865341187,0.16362195
Touriga Nacional,0.059718683,0.0,0.0,0.1889665275812149,0.103347935
Aglianico,0.015303586,0.0,0.0,0.046323925256729126,0.0430506
Garnacha,0.010951072,0.0,0.0,0.030882617458701134,0.031908356
Carignan,0.010951072,0.0,0.0,0.030882617458701134,0.031908356
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
Mourvèdre,0.0,0.0,0.0,0.0,0.0
