variety,mean,p10,p50,p90,std
Zweigelt,0.9587206,0.8962917387485504,0.9769485890865326,0.9994222402572632,0.05602892
Kékfrankos,0.9587206,0.8962917387485504,0.9769485890865326,0.9994222402572632,0.05602892
Cabernet franc,0.9330666,0.8120502769947052,0.9660117030143738,0.9990392327308655,0.08548824
Olaszrizling,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
Portugieser,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
Cabernet Cortis,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
Bianca,0.92926294,0.8460020065307617,0.954709380865097,0.9982789754867554,0.07553146
Albariño,0.92611337,0.7871771812438965,0.963090568780899,0.9973018109798432,0.09229373
Chardonnay,0.9260258,0.8263116896152497,0.954709380865097,0.9982789754867554,0.08276775
Aletta,0.9016103,0.7150468468666077,0.9441544115543365,0.996588534116745,0.11753474
Cserszegi fűszeres,0.9003742,0.8165110528469086,0.9126989543437958,0.9918084919452668,0.08574355
Generosa,0.9003742,0.8165110528469086,0.9126989543437958,0.9918084919452668,0.08574355
Leányka,0.8985465,0.7779575407505035,0.9293820559978485,0.9969495415687561,0.11033762
Budai zöld,0.8985465,0.7779575407505035,0.9293820559978485,0.9969495415687561,0.11033762
Királyleányka,0.8985465,0.7779575407505035,0.9293820559978485,0.9969495415687561,0.11033762
Sauvignon blanc,0.8906035,0.7806492507457733,0.9126989543437958,0.9918084919452668,0.10814648
Souvignier Gris,0.8906035,0.7806492507457733,0.9126989543437958,0.9918084919452668,0.10814648
Szürkebarát,0.8906035,0.7806492507457733,0.9126989543437958,0.9918084919452668,0.10814648
Zalagyöngye,0.8839889,0.7416097223758698,0.9090423882007599,0.9927204191684723,0.1041713
Zengő,0.87240136,0.6332513451576233,0.9347988069057465,0.9960535049438477,0.14995848
Nektár,0.8718117,0.6589147865772247,0.9272231161594391,0.9964670777320862,0.14365868
Vulcanus,0.8718117,0.6589147865772247,0.9272231161594391,0.9964670777320862,0.14365868
Zefír,0.8718117,0.6589147865772247,0.9272231161594391,0.9964670777320862,0.14365868
Zeus,0.8718117,0.6589147865772247,0.9272231161594391,0.9964670777320862,0.14365868
Auxerrois,0.8718117,0.6589147865772247,0.9272231161594391,0.9964670777320862,0.14365868
Blauburger,0.85417134,0.6193312048912049,0.9036708772182465,0.9902135252952575,0.15075023
Rózsakő,0.8490916,0.6490112662315368,0.8844053745269775,0.9917561113834381,0.14017329
Turán,0.8319865,0.6050193130970001,0.8775950372219086,0.9708106577396393,0.14840358
Zenit,0.81769633,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18695642
Hárslevelű,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Kövérszőlő,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Kabar,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Kadarka,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Zéta,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Merlot,0.81714207,0.5360210299491882,0.8777797818183899,0.9960523903369903,0.18727991
Arany sárfehér,0.81567657,0.554262900352478,0.867110550403595,0.9945073008537293,0.18112065
Kövidinka,0.81522536,0.5317362725734711,0.8855789601802826,0.9922452092170715,0.1874264
Furmint,0.81522536,0.5317362725734711,0.8855789601802826,0.9922452092170715,0.1874264
Sémillon,0.8150252,0.5317362725734711,0.8855789601802826,0.9922452092170715,0.18748625
Gamay,0.8150252,0.5317362725734711,0.8855789601802826,0.9922452092170715,0.18748625
Juhfark,0.8141049,0.5305997610092164,0.8766656219959259,0.9960523903369903,0.18887027
Kéknyelű,0.8125708,0.5414976298809052,0.8674083054065704,0.9933789074420929,0.18512732
Sárgamuskotály,0.8062029,0.5174270451068879,0.8725321590900421,0.9935192346572876,0.18961261
Cirfandli,0.80361986,0.5315752744674682,0.8611299395561218,0.9945073008537293,0.19151816
Chasselas,0.79915327,0.6131132543087006,0.8464337289333344,0.9497699499130249,0.13679145
Kunleány,0.7982129,0.5163744747638702,0.8644557893276215,0.9736258625984192,0.1857615
Ezerjó,0.79274243,0.5390416562557221,0.8431736826896667,0.9904699981212616,0.1778867
Zöld veltelíni,0.78600216,0.5638318002223969,0.8897028863430023,0.9905247807502746,0.18610789
Pinot blanc,0.78600216,0.5638318002223969,0.8897028863430023,0.9905247807502746,0.18610789
Sangiovese,0.7796747,0.5696546912193299,0.689437985420227,0.9947097718715667,0.1778464
Verdejo,0.7796747,0.5696546912193299,0.689437985420227,0.9947097718715667,0.1778464
Vermentino,0.7796747,0.5696546912193299,0.689437985420227,0.9947097718715667,0.1778464
Tramini,0.7631166,0.4522751480340958,0.8887550234794617,0.9905247807502746,0.2233221
Rajnai rizling,0.7631166,0.4522751480340958,0.8887550234794617,0.9905247807502746,0.2233221
Pinot noir,0.7631166,0.4522751480340958,0.8887550234794617,0.9905247807502746,0.2233221
Muscat ottonel,0.7631166,0.4522751480340958,0.8887550234794617,0.9905247807502746,0.2233221
Rizlingszilváni,0.7616856,0.44385877549648284,0.8887550234794617,0.9905247807502746,0.22539559
Irsai Olivér,0.7616856,0.44385877549648284,0.8887550234794617,0.9905247807502746,0.22539559
Müller-Thurgau,0.7616856,0.44385877549648284,0.8887550234794617,0.9905247807502746,0.22539559
Johanniter,0.7525338,0.44385877549648284,0.8792104125022888,0.9725363850593567,0.21876408
Muscaris,0.7525338,0.44385877549648284,0.8792104125022888,0.9725363850593567,0.21876408
Fiano,0.7179072,0.42058643996715545,0.6510441303253174,0.9578430533409119,0.20630093
Syrah,0.69575924,0.38169341385364536,0.6805229187011719,0.9754542589187623,0.22483355
Cabernet sauvignon,0.6949662,0.38169341385364536,0.6803240478038788,0.9754542589187623,0.22460942
Solaris,0.6933165,0.3625102758407593,0.850113183259964,0.9092840433120728,0.22546531
Bronner,0.6933165,0.3625102758407593,0.850113183259964,0.9092840433120728,0.22546531
Mészikadar,0.6889608,0.37850031554698943,0.6714710593223572,0.9588420689105988,0.2222836
Menoire,0.68875396,0.37850031554698943,0.6714710593223572,0.9588420689105988,0.22219345
Bíborkadarka,0.6365297,0.2944705218076706,0.6413404643535614,0.9127926886081695,0.23506486
Alibernet,0.6313933,0.2944705218076706,0.6405417919158936,0.8993204772472382,0.23074445
Malbec,0.57500947,0.22048750817775728,0.6050666570663452,0.8861131310462952,0.24474657
Tannat,0.5703455,0.22048750817775728,0.6041453182697296,0.8766675353050232,0.24101354
Assyrtiko,0.5270293,0.10371943935751915,0.5357328951358795,0.8615212202072144,0.2930467
Sagrantino,0.47667927,0.06023056507110596,0.48305508494377136,0.8507816314697265,0.28236726
Tempranillo,0.4321696,0.06914629116654397,0.37137551605701447,0.8134156823158264,0.2815308
Touriga Nacional,0.26860854,0.0,0.16874781996011734,0.6513197243213654,0.25815174
Aglianico,0.12230633,0.0,0.0,0.38912035226821906,0.17895822
Garnacha,0.09163782,0.0,0.0,0.29184026122093204,0.13425146
Carignan,0.09163782,0.0,0.0,0.29184026122093204,0.13425146
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
Mourvèdre,0.0,0.0,0.0,0.0,0.0
