period,scenario,variety,mean,p10,p50,p90,std
1971-2000,observed,Solaris,0.9691504,0.915947675704956,0.987216055393219,0.9997953772544861,0.033821933
1971-2000,observed,Bronner,0.9691504,0.915947675704956,0.987216055393219,0.9997953772544861,0.033821933
1971-2000,observed,Johanniter,0.9527678,0.8797586560249329,0.9681540131568909,0.99696946144104,0.04630799
1971-2000,observed,Muscaris,0.9527678,0.8797586560249329,0.9681540131568909,0.99696946144104,0.04630799
1971-2000,observed,Zöld veltelíni,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Rajnai rizling,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Tramini,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Muscat ottonel,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Müller-Thurgau,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Pinot noir,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Pinot blanc,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Rizlingszilváni,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Irsai Olivér,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
1971-2000,observed,Generosa,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
1971-2000,observed,Sauvignon blanc,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
1971-2000,observed,Cserszegi fűszeres,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
1971-2000,observed,Souvignier Gris,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
1971-2000,observed,Szürkebarát,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
1971-2000,observed,Bianca,0.8366943,0.6631695628166199,0.871877908706665,0.9617855548858643,0.12766668
1971-2000,observed,Chardonnay,0.8366943,0.6631695628166199,0.871877908706665,0.9617855548858643,0.12766668
1971-2000,observed,Zalagyöngye,0.7588453,0.47974443435668945,0.8433493375778198,0.9039479494094849,0.16448899
1971-2000,observed,Chasselas,0.72343284,0.49107933044433594,0.7783305943012238,0.8839303851127625,0.17767617
1971-2000,observed,Zweigelt,0.7123961,0.40626296401023865,0.642932265996933,0.9654592275619507,0.20472026
1971-2000,observed,Kékfrankos,0.7123961,0.40626296401023865,0.642932265996933,0.9654592275619507,0.20472026
1971-2000,observed,Leányka,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
1971-2000,observed,Királyleányka,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
1971-2000,observed,Budai zöld,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
1971-2000,observed,Portugieser,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
1971-2000,observed,Cabernet Cortis,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
1971-2000,observed,Olaszrizling,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
1971-2000,observed,Rózsakő,0.6529108,0.2768641412258148,0.7376278638839722,0.8407042026519775,0.2022582
1971-2000,observed,Zeus,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
1971-2000,observed,Nektár,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
1971-2000,observed,Zefír,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
1971-2000,observed,Vulcanus,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
1971-2000,observed,Auxerrois,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
1971-2000,observed,Cabernet franc,0.5167399,0.06603016704320908,0.4469050467014313,0.8634737133979797,0.30715674
1971-2000,observed,Albariño,0.514447,0.06603016704320908,0.4469050467014313,0.8603911399841309,0.30471414
1971-2000,observed,Ezerjó,0.4961697,0.16691331565380096,0.5338200628757477,0.7040266394615173,0.21892442
1971-2000,observed,Cirfandli,0.49116725,0.16691331565380096,0.5284407138824463,0.6945750713348389,0.21485296
1971-2000,observed,Arany sárfehér,0.49116725,0.16691331565380096,0.5284407138824463,0.6945750713348389,0.21485296
1971-2000,observed,Aletta,0.4809103,0.05634620785713196,0.41737836599349976,0.8244335055351257,0.28848106
1971-2000,observed,Zengő,0.44073963,0.04504825919866562,0.3906991183757782,0.7515106201171875,0.27229038
1971-2000,observed,Kéknyelű,0.42982945,0.0422615185379982,0.46462544798851013,0.6768400073051453,0.2490687
1971-2000,observed,Kövérszőlő,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Merlot,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Zenit,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Zéta,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Kadarka,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Kabar,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Juhfark,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Hárslevelű,0.38786483,0.0316961407661438,0.3484690934419632,0.6653279662132263,0.2534973
1971-2000,observed,Sémillon,0.38628548,0.0316961407661438,0.3484690934419632,0.6651449203491211,0.25226527
1971-2000,observed,Kövidinka,0.38628548,0.0316961407661438,0.3484690934419632,0.6651449203491211,0.25226527
1971-2000,observed,Furmint,0.38628548,0.0316961407661438,0.3484690934419632,0.6651449203491211,0.25226527
1971-2000,observed,Gamay,0.38628548,0.0316961407661438,0.3484690934419632,0.6651449203491211,0.25226527
1971-2000,observed,Blauburger,0.35811284,0.0,0.24476373940706253,0.696379542350769,0.2739073
1971-2000,observed,Sárgamuskotály,0.3155001,0.0,0.2180713638663292,0.6344639658927917,0.24803199
1971-2000,observed,Kunleány,0.3139562,0.0,0.2180713638663292,0.6341208219528198,0.2464567
1971-2000,observed,Turán,0.26771364,0.0,0.11864123120903969,0.6062583923339844,0.26268834
1971-2000,observed,Verdejo,0.23366235,0.0,0.09679311141371727,0.5631112456321716,0.23774993
