borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,0.81515145,1.0,0.6930149,frost,white,medium,True,
Badacsonyi,Balaton,Hárslevelű,Harslevelu,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,white,medium,False,
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.6736255,True,0.81515145,1.0,0.54910684,huglin,white,low,False,
Badacsonyi,Balaton,Kabar,Kabar,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,white,low,False,
Badacsonyi,Balaton,Zéta,Zeta,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,white,low,False,
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,white,low,False,
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8828438,True,1.0,1.0,0.8828438,huglin,white,high,True,
Badacsonyi,Balaton,Rajnai rizling,Riesling,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,True,
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,True,
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,False,
Badacsonyi,Balaton,Szürkebarát,Pinot gris,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9472139,True,1.0,1.0,0.9472139,huglin,white,high,True,
Badacsonyi,Balaton,Tramini,Gewürztraminer,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,False,
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9472139,True,1.0,1.0,0.9472139,huglin,white,high,False,
Badacsonyi,Balaton,Chardonnay,Chardonnay,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9300033,True,1.0,1.0,0.9300033,huglin,white,high,False,
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,False,
Badacsonyi,Balaton,Zöld veltelíni,Grüner Veltliner,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,white,high,False,
