borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.95743954,True,1.0,1.0,0.95743954,huglin,white,medium,True,0.26442462
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.97532696,True,1.0,1.0,0.97532696,huglin,white,medium,False,0.28227037
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.9562438,True,1.0,1.0,0.9562438,huglin,white,low,False,0.40713698
Badacsonyi,Balaton,Kabar,Kabar,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.97532696,True,1.0,1.0,0.97532696,huglin,white,low,False,0.28227037
Badacsonyi,Balaton,Zéta,Zeta,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.97532696,True,1.0,1.0,0.97532696,huglin,white,low,False,0.28227037
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.97532696,True,1.0,1.0,0.97532696,huglin,white,low,False,0.28227037
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.9998541,True,1.0,1.0,0.9998541,huglin,white,high,True,0.117010295
Badacsonyi,Balaton,Rajnai rizling,Riesling,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.9195454,False,1.0,1.0,0.68965906,winkler,white,high,True,-0.2784664
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.9195454,False,1.0,1.0,0.68965906,winkler,white,high,True,-0.2784664
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2041-2060,rcp45,2156.9512,1669.8123,9.6,5.8,0.9195454,False,1.0,1.0,0.68965906,winkler,white,high,False,-0.2784664
