borvidek,biggest_winner_variety,winner_delta,biggest_loser_variety,loser_delta,current_suitability_loser,future_suitability_loser
Badacsonyi,Furmint,0.18484854698181152,Rizlingszilváni,-0.8894886374473572,1.0,0.11051137745380402
Balatonboglári,Cabernet sauvignon,-0.27034828066825867,Pinot noir,-1.0,1.0,0.0
Balatonfelvidéki,Olaszrizling,-0.5198829174041748,Rajnai rizling,-0.9407281279563904,1.0,0.05927187204360962
Balatonfüred-Csopaki,Furmint,-0.43619585037231445,Rajnai rizling,-1.0,1.0,0.0
Bükki,Olaszrizling,-0.28750836849212646,Müller-Thurgau,-0.9324593544006348,1.0,0.06754067540168762
Csongrádi,Kadarka,-0.76258784532547,Olaszrizling,-1.0,1.0,0.0
Egri,Cabernet sauvignon,0.12595519423484802,Pinot noir,-1.0,1.0,0.0
Etyek-Budai,Olaszrizling,-0.933399498462677,Sauvignon blanc,-1.0,1.0,0.0
Hajós-Bajai,Cabernet sauvignon,-0.3929080665111542,Kékfrankos,-1.0,1.0,0.0
Kunsági,Kadarka,-0.623538613319397,Olaszrizling,-1.0,1.0,0.0
Mátrai,Hárslevelű,0.2705301344394684,Rizlingszilváni,-0.9666666388511658,0.9666666388511658,0.0
Móri,Ezerjó,-0.18880164623260498,Rajnai rizling,-0.9461166262626648,1.0,0.0538833811879158
Nagy-Somlói,Furmint,0.09360986948013306,Tramini,-1.0,1.0,0.0
Neszmélyi,Olaszrizling,-0.5939550399780273,Irsai Olivér,-1.0,1.0,0.0
Pannonhalmi,Olaszrizling,-0.7457641959190369,Rajnai rizling,-1.0,1.0,0.0
Pécsi,Cabernet sauvignon,-0.24183803796768188,Pinot blanc,-0.9921769499778748,1.0,0.007823058404028416
Soproni,Cabernet sauvignon,0.23441559076309204,Zöld veltelíni,-0.882053554058075,1.0,0.11794644594192505
Szekszárdi,Syrah,-0.33689984679222107,Kékfrankos,-1.0,1.0,0.0
Tokaji,Furmint,-0.08984339237213135,Sárgamuskotály,-0.5206689238548279,0.7272727489471436,0.20660382509231567
Tolnai,Cabernet sauvignon,-0.3705744743347168,Rajnai rizling,-1.0,1.0,0.0
Villányi,Cabernet sauvignon,-0.28506776690483093,Pinot noir,-1.0,1.0,0.0
Zalai,Olaszrizling,-0.6223232746124268,Tramini,-0.985526442527771,1.0,0.014473567716777325
